2022-12-14 14:57:43.222012|INFO    |VirtualServer |1  |permission 'i_ft_file_upload_power'(id:235) with values (value:50, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:57:46.177093|INFO    |VirtualServer |1  |permission 'i_ft_file_download_power'(id:237) with values (value:50, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:57:47.632203|INFO    |VirtualServer |1  |permission 'i_ft_file_delete_power'(id:239) with values (value:50, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:57:49.775747|INFO    |VirtualServer |1  |permission 'i_ft_file_rename_power'(id:241) with values (value:50, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:57:53.572656|INFO    |VirtualServer |1  |permission 'i_ft_file_browse_power'(id:243) with values (value:50, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:57:56.416413|INFO    |VirtualServer |1  |permission 'i_ft_directory_create_power'(id:245) with values (value:50, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:58:02.072694|INFO    |VirtualServer |1  |permission 'i_ft_quota_mb_upload_per_client'(id:248) with values (value:20, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:58:04.072698|INFO    |VirtualServer |1  |permission 'i_ft_quota_mb_download_per_client'(id:247) with values (value:-1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:58:20.979033|INFO    |VirtualServer |1  |permission 'i_client_poke_power'(id:223) with values (value:50, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:58:26.197819|INFO    |VirtualServer |1  |permission 'b_client_channel_textmessage_send'(id:219) with values (value:1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:58:27.057188|INFO    |VirtualServer |1  |permission 'b_client_offline_textmessage_send'(id:220) with values (value:1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:58:27.135310|INFO    |VirtualServer |1  |permission 'b_client_offline_textmessage_send'(id:220) with values (value:0, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:58:28.057192|INFO    |VirtualServer |1  |permission 'b_client_offline_textmessage_send'(id:220) with values (value:1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:58:34.474219|INFO    |VirtualServer |1  |permission 'i_client_private_textmessage_power'(id:216) with values (value:50, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:58:44.648088|INFO    |VirtualServer |1  |permission 'b_client_permissionoverview_view'(id:192) with values (value:1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:58:45.739885|INFO    |VirtualServer |1  |permission 'b_client_permissionoverview_own'(id:193) with values (value:1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:58:55.191123|INFO    |VirtualServer |1  |permission 'i_client_needed_kick_from_server_power'(id:199) with values (value:50, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:58:57.972379|INFO    |VirtualServer |1  |permission 'i_client_needed_kick_from_channel_power'(id:201) with values (value:50, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:03.534909|INFO    |VirtualServer |1  |permission 'i_client_needed_ban_power'(id:203) with values (value:50, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:10.503685|INFO    |VirtualServer |1  |permission 'i_client_needed_move_power'(id:205) with values (value:50, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:12.331812|INFO    |VirtualServer |1  |permission 'i_client_complain_power'(id:206) with values (value:50, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:15.816213|INFO    |VirtualServer |1  |permission 'i_client_needed_complain_power'(id:207) with values (value:50, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:24.425636|INFO    |VirtualServer |1  |permission 'i_group_auto_update_type'(id:149) with values (value:30, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:36.621007|INFO    |VirtualServer |1  |permission 'b_virtualserver_servergroup_list'(id:153) with values (value:1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:36.700111|INFO    |VirtualServer |1  |permission 'b_virtualserver_servergroup_list'(id:153) with values (value:0, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:37.590738|INFO    |VirtualServer |1  |permission 'b_virtualserver_servergroup_list'(id:153) with values (value:1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:38.365146|INFO    |VirtualServer |1  |permission 'b_virtualserver_servergroup_client_list'(id:155) with values (value:1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:38.455964|INFO    |VirtualServer |1  |permission 'b_virtualserver_servergroup_client_list'(id:155) with values (value:0, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:39.304602|INFO    |VirtualServer |1  |permission 'b_virtualserver_servergroup_client_list'(id:155) with values (value:1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:39.843665|INFO    |VirtualServer |1  |permission 'b_virtualserver_channelgroup_list'(id:156) with values (value:1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:39.940343|INFO    |VirtualServer |1  |permission 'b_virtualserver_channelgroup_list'(id:156) with values (value:0, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:40.424721|INFO    |VirtualServer |1  |permission 'b_virtualserver_channelgroup_list'(id:156) with values (value:1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:45.010696|INFO    |VirtualServer |1  |permission 'b_virtualserver_channelgroup_client_list'(id:158) with values (value:1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:45.073188|INFO    |VirtualServer |1  |permission 'b_virtualserver_channelgroup_client_list'(id:158) with values (value:0, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-14 14:59:45.760700|INFO    |VirtualServer |1  |permission 'b_virtualserver_channelgroup_client_list'(id:158) with values (value:1, negated:0, skipchannel:0) was added by 'Zhuo_Yun'(id:75) to servergroup '2'(id:13)
2022-12-16 14:45:36.599870|INFO    |PktHandler    |1  |Dropping client 568 because of ping timeout 19 0 0
2022-12-17 06:28:47.460392|INFO    |PktHandler    |1  |Dropping client 574 because of ping timeout 19 0 0
2022-12-17 07:03:45.605096|INFO    |PktHandler    |1  |Dropping client 576 because of ping timeout 19 0 0
2022-12-18 05:41:51.765500|INFO    |PktHandler    |1  |Dropping client 593 because of ping timeout 19 0 0
2022-12-20 05:38:24.202583|INFO    |PktHandler    |1  |Dropping client 613 because of ping timeout 19 0 0
2022-12-20 11:09:16.023589|INFO    |PktHandler    |1  |Dropping client 622 because of ping timeout 19 0 0
2022-12-20 13:34:20.260739|INFO    |PktHandler    |1  |Dropping client 623 because of ping timeout 19 0 0
2022-12-21 05:23:46.090674|INFO    |VirtualServer |1  |client 'LegotenXXJ'(id:151) was added to servergroup 'Normal'(id:7) by client 'Zhuo_Yun'(id:75)
2022-12-21 07:48:00.819940|INFO    |PktHandler    |1  |Dropping client 634 because of ping timeout 19 0 0
2022-12-22 06:59:01.129905|INFO    |PktHandler    |1  |Dropping client 648 because of ping timeout 19 0 0
2022-12-22 07:33:08.981879|INFO    |PktHandler    |1  |Dropping client 649 because of ping timeout 19 0 0
2022-12-23 09:27:33.843792|INFO    |PktHandler    |1  |Dropping client 667 because of ping timeout 19 0 0
2022-12-23 10:38:32.267492|INFO    |PktHandler    |1  |Dropping client 668 because of ping timeout 19 0 0
2022-12-23 11:32:29.580109|INFO    |PktHandler    |1  |Dropping client 670 because of ping timeout 19 0 0
2022-12-23 11:35:30.567077|INFO    |PktHandler    |1  |Dropping client 672 because of ping timeout 19 0 0
2022-12-25 04:51:55.308027|INFO    |PktHandler    |1  |Dropping client 704 because of ping timeout 19 0 0
2022-12-25 05:08:13.076989|INFO    |PktHandler    |1  |Dropping client 705 because of ping timeout 19 0 0
2022-12-25 05:10:59.882186|INFO    |PktHandler    |1  |Dropping client 706 because of ping timeout 19 0 0
2022-12-26 07:48:07.463247|INFO    |PktHandler    |1  |Dropping client 730 because of ping timeout 19 0 0
2022-12-26 13:17:12.308502|INFO    |PktHandler    |1  |Dropping client 740 because of ping timeout 19 0 0
2022-12-27 03:42:04.762117|INFO    |PktHandler    |1  |Dropping client 745 because of ping timeout 19 0 0
2022-12-27 03:43:16.411820|INFO    |PktHandler    |1  |Dropping client 746 because of ping timeout 19 0 0
2022-12-27 08:22:12.935092|INFO    |PktHandler    |1  |Dropping client 748 because of ping timeout 19 0 0
2022-12-27 13:57:06.924537|INFO    |PktHandler    |1  |Dropping client 756 because of ping timeout 19 0 0
2022-12-27 14:19:18.002699|INFO    |PktHandler    |1  |Dropping client 759 because of ping timeout 19 0 0
2022-12-29 14:57:11.849448|INFO    |PktHandler    |1  |Cleaning up connection because of 15 resends of COMMAND packet
2022-12-29 14:57:11.849448|INFO    |PktHandler    |1  |Dropping client 782 because of resend timeout
2022-12-30 02:48:43.375927|INFO    |PktHandler    |1  |Dropping client 797 because of ping timeout 19 0 0
2022-12-30 08:55:15.585367|INFO    |PktHandler    |1  |Dropping client 807 because of ping timeout 19 0 0
2022-12-30 12:50:31.305172|INFO    |PktHandler    |1  |Dropping client 800 because of ping timeout 19 0 0
2022-12-31 04:21:45.857467|INFO    |PktHandler    |1  |Dropping client 825 because of ping timeout 19 0 0
2023-01-01 02:00:14.645215|INFO    |PktHandler    |1  |Dropping client 845 because of ping timeout 19 0 0
2023-01-01 05:07:17.645768|INFO    |PktHandler    |1  |Dropping client 847 because of ping timeout 19 0 0
2023-01-01 06:36:51.316188|INFO    |PktHandler    |1  |Dropping client 856 because of ping timeout 19 0 0
2023-01-01 14:33:48.488445|INFO    |PktHandler    |1  |Dropping client 863 because of ping timeout 19 0 0
2023-01-01 15:19:12.854619|INFO    |PktHandler    |1  |Dropping client 864 because of ping timeout 19 0 0
2023-01-01 15:54:29.473293|INFO    |PktHandler    |1  |Dropping client 865 because of ping timeout 19 0 0
2023-01-02 02:36:06.088003|INFO    |PktHandler    |1  |Dropping client 871 because of ping timeout 19 0 0
2023-01-02 04:22:37.352921|INFO    |PktHandler    |1  |Dropping client 876 because of ping timeout 19 0 0
2023-01-04 06:05:52.737279|INFO    |PktHandler    |1  |Dropping client 897 because of ping timeout 19 0 0
2023-01-04 10:25:15.388047|INFO    |PktHandler    |1  |Dropping client 899 because of ping timeout 19 0 0
2023-01-04 11:18:56.898320|INFO    |PktHandler    |1  |Dropping client 904 because of ping timeout 19 0 0
2023-01-04 14:10:48.429469|INFO    |PktHandler    |1  |Dropping client 910 because of ping timeout 19 0 0
2023-01-05 07:59:53.715626|INFO    |PktHandler    |1  |Dropping client 918 because of ping timeout 19 0 0
2023-01-05 14:16:01.379761|INFO    |PktHandler    |1  |Dropping client 922 because of ping timeout 19 0 0
2023-01-05 14:30:59.331108|INFO    |PktHandler    |1  |Dropping client 929 because of ping timeout 19 0 0
2023-01-06 12:02:27.107121|INFO    |PktHandler    |1  |Dropping client 941 because of ping timeout 19 0 0
2023-01-06 14:17:36.970291|INFO    |PktHandler    |1  |Dropping client 946 because of ping timeout 19 0 0
2023-01-06 15:01:50.569211|INFO    |PktHandler    |1  |Dropping client 948 because of ping timeout 19 0 0
2023-01-07 09:36:40.632954|INFO    |PktHandler    |1  |Dropping client 953 because of ping timeout 19 0 0
2023-01-08 13:42:52.984277|INFO    |VirtualServer |1  |client 'TS3AudioBot'(id:5) was added to servergroup 'Server Admin'(id:6) by client 'Zhuo_Yun'(id:75)
2023-01-08 13:42:59.593633|INFO    |VirtualServer |1  |client 'TS3AudioBot'(id:5) was added to channelgroup 'Channel Admin'(id:5) by client 'Zhuo_Yun'(id:75) in channel '挂机区'(id:27)
2023-01-08 13:43:03.218629|INFO    |VirtualServer |1  |client 'TS3AudioBot'(id:5) was removed from servergroup 'Normal'(id:7) by client 'Zhuo_Yun'(id:75)
2023-01-08 13:43:06.187371|INFO    |VirtualServer |1  |client 'TS3AudioBot'(id:5) was removed from servergroup 'Server Admin'(id:6) by client 'Zhuo_Yun'(id:75)
2023-01-08 13:43:10.156115|INFO    |VirtualServer |1  |client 'TS3AudioBot'(id:5) was added to servergroup 'Normal'(id:7) by client 'Zhuo_Yun'(id:75)
2023-01-08 13:43:14.086755|INFO    |VirtualServer |1  |client 'TS3AudioBot'(id:5) was added to servergroup 'Server Admin'(id:6) by client 'Zhuo_Yun'(id:75)
2023-01-09 09:28:12.835319|INFO    |PktHandler    |1  |Dropping client 983 because of ping timeout 19 0 0
2023-01-11 09:53:11.676546|INFO    |PktHandler    |1  |Dropping client 1024 because of ping timeout 19 0 0
2023-01-11 10:04:57.181883|INFO    |PktHandler    |1  |Dropping client 1017 because of ping timeout 19 0 0
2023-01-11 10:12:08.245525|INFO    |PktHandler    |1  |Cleaning up connection because of 14 resends of COMMAND packet
2023-01-11 10:12:08.245525|INFO    |PktHandler    |1  |Dropping client 1027 because of resend timeout
2023-01-11 10:43:05.979826|INFO    |PktHandler    |1  |Cleaning up connection because of 14 resends of COMMAND packet
2023-01-11 10:43:05.979826|INFO    |PktHandler    |1  |Dropping client 1030 because of resend timeout
2023-01-11 17:06:17.988575|INFO    |PktHandler    |1  |Dropping client 1031 because of ping timeout 19 0 0
2023-01-12 08:24:59.814130|INFO    |PktHandler    |1  |Dropping client 1039 because of ping timeout 19 0 0
2023-01-13 09:12:06.090213|INFO    |PktHandler    |1  |Dropping client 1051 because of ping timeout 19 0 0
2023-01-14 08:39:41.624562|INFO    |PktHandler    |1  |Dropping client 1070 because of ping timeout 19 0 0
2023-01-15 06:14:32.359854|INFO    |PktHandler    |1  |Dropping client 1089 because of ping timeout 19 0 0
2023-01-15 06:39:25.132267|INFO    |PktHandler    |1  |Dropping client 1092 because of ping timeout 19 0 0
2023-01-16 15:24:49.169741|INFO    |PktHandler    |1  |Cleaning up connection because of 15 resends of COMMAND packet
2023-01-16 15:24:49.169741|INFO    |PktHandler    |1  |Dropping client 1116 because of resend timeout
2023-01-16 16:11:06.033055|INFO    |PktHandler    |1  |Dropping client 1112 because of ping timeout 19 0 0
2023-01-19 03:55:42.699546|INFO    |PktHandler    |1  |Dropping client 1154 because of ping timeout 19 0 0
2023-01-20 05:48:05.319506|INFO    |PktHandler    |1  |Dropping client 1173 because of ping timeout 19 0 0
2023-01-20 08:38:31.316207|INFO    |PktHandler    |1  |Dropping client 1174 because of ping timeout 19 0 0
2023-01-21 02:47:59.488680|INFO    |PktHandler    |1  |Dropping client 1182 because of ping timeout 19 0 0
2023-01-21 12:41:50.580017|INFO    |VirtualServer |1  |client '音乐大师'(id:5) was removed from servergroup 'Server Admin'(id:6) by client 'Zhuo_Yun'(id:75)
2023-01-21 12:42:05.889560|INFO    |VirtualServer |1  |client '音乐大师'(id:5) was added to channelgroup 'Bot'(id:9) by client 'Zhuo_Yun'(id:75) in channel '歌房'(id:45)
2023-01-22 13:41:02.982570|INFO    |PktHandler    |1  |Dropping client 1208 because of ping timeout 19 0 0
2023-01-23 02:26:45.889994|INFO    |PktHandler    |1  |Dropping client 1214 because of ping timeout 19 0 0
2023-01-23 12:18:58.597022|INFO    |PktHandler    |1  |Dropping client 1235 because of ping timeout 19 0 0
2023-01-23 13:40:30.198720|INFO    |PktHandler    |1  |Cleaning up connection because of 14 resends of COMMAND packet
2023-01-23 13:40:30.198720|INFO    |PktHandler    |1  |Dropping client 1239 because of resend timeout
2023-01-23 13:47:21.636374|INFO    |PktHandler    |1  |Dropping client 1244 because of ping timeout 19 0 0
2023-01-24 02:23:05.147669|INFO    |PktHandler    |1  |Dropping client 1248 because of ping timeout 19 0 0
2023-01-24 02:24:18.733439|INFO    |PktHandler    |1  |Cleaning up connection because of 15 resends of COMMAND packet
2023-01-24 02:24:18.733439|INFO    |PktHandler    |1  |Dropping client 1249 because of resend timeout
2023-01-24 03:12:12.725120|INFO    |PktHandler    |1  |Dropping client 1250 because of ping timeout 19 0 0
2023-01-24 16:24:58.558361|INFO    |PktHandler    |1  |Dropping client 1264 because of ping timeout 19 0 0
2023-01-25 08:20:29.793767|INFO    |PktHandler    |1  |Dropping client 1272 because of ping timeout 19 0 0
2023-01-25 08:36:19.773457|INFO    |PktHandler    |1  |Dropping client 1275 because of ping timeout 19 0 0
2023-01-26 01:42:16.646885|INFO    |PktHandler    |1  |Dropping client 1286 because of ping timeout 19 0 0
2023-01-26 13:45:19.332977|INFO    |PktHandler    |1  |Dropping client 1293 because of ping timeout 19 0 0
2023-01-27 05:20:36.950229|INFO    |PktHandler    |1  |Dropping client 1299 because of ping timeout 19 0 0
2023-01-27 05:21:19.071416|INFO    |PktHandler    |1  |Dropping client 1301 because of ping timeout 19 0 0
2023-01-27 08:17:11.228253|INFO    |PktHandler    |1  |Dropping client 1302 because of ping timeout 19 0 0
2023-01-27 13:11:20.105335|INFO    |PktHandler    |1  |Dropping client 1309 because of ping timeout 19 0 0
2023-01-27 14:35:45.716074|INFO    |PktHandler    |1  |Dropping client 1316 because of ping timeout 19 0 0
