2024-09-18 10:07:20.901646|INFO    |PktHandler    |1  |Dropping client 1058 because of ping timeout 19 0 0
2024-09-18 10:17:51.795447|INFO    |PktHandler    |1  |Dropping client 1059 because of ping timeout 19 0 0
2024-09-18 14:13:27.867770|INFO    |PktHandler    |1  |Dropping client 1060 because of ping timeout 19 0 0
2024-09-19 15:02:57.120851|INFO    |PktHandler    |1  |Dropping client 1073 because of ping timeout 19 0 0
2024-09-20 14:32:32.453278|INFO    |PktHandler    |1  |Dropping client 1085 because of ping timeout 19 0 0
2024-09-21 13:50:43.712700|INFO    |PktHandler    |1  |Cleaning up connection because of 9 resends of COMMAND packet
2024-09-21 13:50:43.712700|INFO    |PktHandler    |1  |Dropping client 1122 because of resend timeout
2024-09-22 09:03:56.518765|INFO    |PktHandler    |1  |Dropping client 1112 because of ping timeout 19 0 0
2024-09-23 09:55:59.488269|INFO    |PktHandler    |1  |Dropping client 1153 because of ping timeout 19 0 0
2024-09-26 13:14:29.172775|INFO    |PktHandler    |1  |Dropping client 1185 because of ping timeout 19 0 0
2024-09-27 15:59:47.132167|INFO    |PktHandler    |1  |Dropping client 1190 because of ping timeout 19 0 0
2024-09-28 06:40:23.824337|INFO    |PktHandler    |1  |Dropping client 1203 because of ping timeout 19 0 0
2024-09-28 15:02:48.516813|INFO    |PktHandler    |1  |Dropping client 1200 because of ping timeout 19 0 0
2024-10-01 11:30:37.928099|INFO    |PktHandler    |1  |Dropping client 1238 because of ping timeout 19 0 0
2024-10-01 12:13:30.459519|INFO    |PktHandler    |1  |Dropping client 1239 because of ping timeout 19 0 0
2024-10-01 20:00:32.046381|INFO    |PktHandler    |1  |Dropping client 1235 because of ping timeout 19 0 0
2024-10-01 21:00:39.857635|INFO    |PktHandler    |1  |Dropping client 1246 because of ping timeout 19 0 0
2024-10-02 13:56:38.394851|INFO    |PktHandler    |1  |Dropping client 1252 because of ping timeout 19 0 0
2024-10-02 15:31:53.784603|INFO    |PktHandler    |1  |Dropping client 1248 because of ping timeout 19 0 0
2024-10-03 14:53:00.242850|INFO    |PktHandler    |1  |Dropping client 1266 because of ping timeout 19 0 0
2024-10-04 12:06:58.895235|INFO    |PktHandler    |1  |Dropping client 1273 because of ping timeout 19 0 0
2024-10-05 13:53:16.673296|INFO    |PktHandler    |1  |Dropping client 1283 because of ping timeout 19 0 0
2024-10-06 13:33:27.110184|INFO    |PktHandler    |1  |Dropping client 1294 because of ping timeout 19 0 0
2024-10-06 16:22:52.813919|INFO    |PktHandler    |1  |Dropping client 1295 because of ping timeout 19 0 0
2024-10-06 19:50:14.314011|INFO    |PktHandler    |1  |Dropping client 1291 because of ping timeout 19 0 0
2024-10-08 13:27:14.718736|INFO    |PktHandler    |1  |Dropping client 1306 because of ping timeout 19 0 0
2024-10-11 19:27:06.120260|INFO    |PktHandler    |1  |Dropping client 1327 because of ping timeout 19 0 0
